teste_v.0.0.8_projeto_sistema_bancario_v.0.0.5	
3.2.1.2_trilha_de_execucao_008
----------------------------------------------	
15/05/2025												
----------------------------------------------	
step:	|execution_track:			|input:				|output:			|
22	|3.2.1.1_               		|(2)          			|				|
23      |3.2.1.2_         			|				|				|
24      |3.2.1.3_ 				|(1)          			|				|
|	|...      				|(1234)        			|				|
|	|...      				|(1)          			|				|
25	|3.2.1.4_ 				|             			|				|
26	|3.3.1.1_ 				|             			|				|
27	|4.3.1.1_ 				|             			|				|
28	|3.3.1.2_ 				|             			|error  			|
|---------------------------------------------------------------------------------------------------------------|
|---------------------------------------------------------------------------------------------------------------|
29	|3.2.1.4_ 				|             			|				|
30	|3.3.1.1_ 				|             			|				|
31	|4.3.1.1_  				|             			|				|
32	|3.3.1.2_ 				|             			|				|
|	|...      				|             			|lista_contas_0001.json 	|
33	|3.2.1.1_ 				|(2)          			|				|
|	|...      				|(1)           			|				|
34      |3.2.1.2_  				|             			|				|
35      |3.2.1.3_ 				|(1)           			|				|
|	|...      				|(1234)        			|				|
|	|...      				|(2)          			|				|
36	|3.2.1.4_  				|             			|				|
37	|3.2.1.1_ 				|(2)          			|				|
|	|...      				|(1)          			|				|
38	|3.2.1.2_  				|             			|				|
39	|3.2.1.3_ 				|(2)          			|				|
|	|...      				|(-12345)      			|				|
|	|...      				|(1)          			|				|
40	|3.2.1.4_ 				|             			|				|
41	|3.3.1.1_  				|             			|				|
42	|4.3.1.1_ 				|             			|				|
|	|...      				|(1)          			|				|
43	|4.2.0_4.2.1.0_4.2.1.2_ 		|(-BV Code)    			|				|
44	|4.3.1.1_				|             			|				|
45	|4.3.1.2_ 				|             			|lista._pessoa_0001.json	|
|	|...      				|(1)         			|				|
46	|3.3.1.2_ 				|             			|lista_contas_0001.json 	|
47	|3.2.1.1_ 				|(2)          			|				|
48	|3.2.1.2_				|             			|				|
49	|3.2.1.3_  				|(2)          			|				|
|	|...      				|(12345)      			|				|
|	|...      				|(1)          			|				|
50	|3.2.1.4_    				|             			|				|
51	|3.3.1.1_ 				|             			|				|
52	|4.3.1.1_ 				|             			|				|
53	|3.3.1.2_ 				|             			|lista_contas_0001.json 	|
54	|3.2.1.1_  				|             			|				|
55	|3.2.1.2_ 				|             			|				|
56	|3.2.1.3_ 				|(2)          			|				|
|	|...      				|(12345)      			|				|
|	|...      				|(2)         			|				|
57	|3.2.1.4_   				|             			|				|
58	|3.2.1.1_ 				|(2)          			|				|
|	|...      				|(2)           			|				|
59      |3.2.1.2_ 				|(-2345)      			|				|
|	|...      				|(1)           			|				|
60	|3.2.1.4_  				|             			|				|
61	|3.3.1.1_ 				|             			|				|
62	|4.3.1.1_ 				|             			|				|
|	|...      				|             			|shutdown       		|
|---------------------------------------------------------------------------------------------------------------|
|---------------------------------------------------------------------------------------------------------------|
63	|3.3.0_3.3.1.0_3.3.1.1_			|             			|				|
64	|4.3.0_4.3.1.0_4.3.1.1_ 		|             			|				|
|	|...      				|(1)           			|				|
65	|4.2.0_4.2.1.0_4.2.1.2_ 		|             			|				|
|	|...      				|(-Gabriel)    			|				|
|	|...      				|(m)          			|				|
66	|4.3.1.1_  				|             			|				|
67	|4.3.1.2_ 				|             			|lista._pessoa_0001.json	|
|	|...      				|(1)          			|				|
68	|3.3.1.2_   				|             			|lista_contas_0001.json 	|
69	|3.2.1.1_ 				|(2)          			|				|
|	|...      				|(2)           			|				|
70      |3.2.1.2 				|(2345)      			|				|
|	|...      				|(1)          			|				|
71	|3.2.1.4_    				|             			|				|
72	|3.3.1.1_  				|             			|				|
73	|3.3.0_3.3.1.0_3.3.1.1_			|             			|				|
74	|4.3.1.1_ 				|             			|				|
75	|3.3.1.2_ 				|             			|lista_contas_0001.json 	|
76	|3.2.1.1_ 				|(2)          			|				|
|	|...      				|(2)           			|				|
77      |3.2.1.2_ 				|(2345)      			|				|
|	|...      				|(2)          			|				|
78	|3.2.1.4_  				|             			|				|
79	|3.2.1.1_ 				|(3)          			|				|
|---------------------------------------------------------------------------------------------------------------|
|---------------------------------------------------------------------------------------------------------------|
|---------------------------------------------------------------------------------------------------------------|
